bike_id,member_gender,member_age,start_neighborhood,end_neighborhood,start_station_name,end_station_name,duration_min,miles,temperature,weather
720,Male,31,Mission District,Civic Center,20th St at Bryant St,Market St at 10th St,10.9,2.5,57,foggy
2645,Male,26,Civic Center,South of Market,Market St at 10th St,Powell St BART Station,6.3,1.5,57,foggy
1202,Female,33,Mission District,South of Market,16th St Mission BART Station 2,Folsom St at 9th St,6.5,1.5,57,foggy
2088,Male,32,Lower Nob Hill,Financial District,Union Square,Post St at Kearny St,2.6,0.6,57,foggy
3144,Male,52,Mission District,Mission Bay,Valencia St at 24th St,San Francisco Caltrain Station 2,20.1,4.7,57,foggy
1570,Female,27,Hayes Valley,South of Market,Koshland Park,11th St at Natoma St,6.8,1.6,57,foggy
781,Male,30,South of Market,Financial District,Embarcadero BART Station,Broadway at Battery St,7,1.6,57,foggy
4036,Male,29,Tenderloin,South of Market,Powell St BART Station,5th at Folsom,4,0.9,57,foggy
3329,Male,32,Potrero Hill,South Beach,Mississippi St at 17th St,The Embarcadero at Steuart St,14.4,3.4,57,foggy
274,Female,37,Mission District,South of Market,Harrison St at 17th St,S Van Ness Ave at Market St,7.5,1.7,57,foggy
3114,Male,25,Lower Nob Hill,Financial District,Union Square,Commercial St at Montgomery St,5.8,1.4,57,foggy
806,Male,73,South of Market,Embarcadero,Spear St at Folsom St,The Embarcadero at Sansome St,9.2,2.1,57,foggy
2692,Male,45,Embarcadero,South of Market,San Francisco Ferry Building,Steuart St at Market St,1.4,0.3,57,foggy
3188,Male,41,China Basin,South of Market,3rd St at Townsend St,Embarcadero BART Station,17.2,4,57,foggy
3859,Male,35,South Beach,Mission Bay,The Embarcadero at Steuart St,Townsend St at 5th St,7.8,1.8,57,foggy
3223,Female,27,South of Market,South of Market,Powell St BART Station,4th St at Harrison St,4.7,1.1,57,foggy
17,Male,38,Mission District,Mission District,16th St Mission BART,19th St at Florida St,4.3,1,57,foggy
1842,Male,33,South of Market,South of Market,8th St at Ringold St,Folsom St at 3rd St,8.4,1.9,57,foggy
2941,Male,31,Mission Dolores,South of Market,Mission Playground,Division St at Potrero Ave,11.2,2.6,57,foggy
1800,Female,31,South of Market,Embarcadero,Steuart St at Market St,The Embarcadero at Sansome St,8,1.9,57,foggy
2025,Male,39,South of Market,South of Market,5th at Folsom,Howard St at 8th St,4.2,1,57,foggy
3405,Other,48,Mission District,South of Market,19th St at Florida St,4th St at Harrison St,13.1,3,57,foggy
2735,Male,38,Embarcadero,Mission Bay,San Francisco Ferry Building,7th St at Brannan St,14.8,3.4,57,foggy
3809,Male,25,South of Market,China Basin,Montgomery St BART Station,3rd St at Townsend St,6.9,1.6,57,foggy
3052,Other,29,Panhandle,South of Market,Broderick St at Oak St,Montgomery St BART Station,17.5,4.1,57,foggy
3247,Male,45,Noe Valley,Lower Nob Hill,Cesar Chavez St at Dolores St,Union Square,24.9,5.8,57,foggy
1211,Male,40,South of Market,Embarcadero,4th St at Harrison St,The Embarcadero at Bryant St,8.4,2,57,foggy
706,Male,37,Hayes Valley,South of Market,Laguna St at Hayes St,Howard St at Beale St,15.4,3.6,57,foggy
3988,Male,33,South of Market,China Basin,Spear St at Folsom St,Berry St at 4th St,6.2,1.4,57,foggy
2296,Male,38,Mission District,South of Market,Folsom St at 19th St,11th St at Natoma St,6.6,1.5,57,foggy
1034,Female,37,China Basin,South of Market,Berry St at 4th St,Howard St at Beale St,10.3,2.4,57,foggy
200,Male,33,Mission District,South of Market,Valencia St at 24th St,Powell St BART Station,16.9,3.9,57,foggy
2058,Male,42,Mission Bay,South Beach,4th St at Mission Bay Blvd S,The Embarcadero at Steuart St,14,3.3,57,foggy
3800,Male,38,Design District,Mission District,Irwin St at 8th St,20th St at Bryant St,6,1.4,57,foggy
437,Male,31,Potrero Hill,Mission District,Mississippi St at 17th St,Harrison St at 17th St,7.2,1.7,57,foggy
3949,Male,31,South of Market,South of Market,11th St at Bryant St,Howard St at Beale St,15.5,3.6,57,foggy
4007,Male,53,South of Market,Embarcadero,Steuart St at Market St,The Embarcadero at Sansome St,6.2,1.5,57,foggy
2894,Female,41,China Basin,Embarcadero,3rd St at Townsend St,San Francisco Ferry Building,11.7,2.7,57,foggy
805,Male,45,Embarcadero,South of Market,San Francisco Ferry Building,Steuart St at Market St,1.3,0.3,57,foggy
2423,Female,22,South of Market,Embarcadero,Embarcadero BART Station,The Embarcadero at Sansome St,14.2,3.3,57,foggy
3017,Male,21,Civic Center,Mission Bay,Market St at Franklin St,8th St at Brannan St,9.8,2.3,57,foggy
3138,Male,21,Civic Center,Mission Bay,Market St at Franklin St,8th St at Brannan St,9.7,2.3,57,foggy
275,Male,33,South of Market,Mission District,Division St at Potrero Ave,Harrison St at 17th St,6.2,1.4,57,foggy
3655,Male,44,Embarcadero,Financial District,The Embarcadero at Sansome St,Mechanics Monument Plaza,8.5,2,57,foggy
233,Male,28,Mission District,Mission Bay,20th St at Bryant St,San Francisco Caltrain Station 2,12.2,2.8,57,foggy
3246,Male,32,Mission District,South of Market,Harrison St at 17th St,Powell St BART Station,16.6,3.9,57,foggy
1396,Male,33,Civic Center,South of Market,San Francisco Public Library,Folsom St at 9th St,6,1.4,57,foggy
2237,Male,29,Mission District,Tenderloin,16th St Mission BART Station 2,Powell St BART Station,12.8,3,57,foggy
567,Male,39,Tenderloin,South of Market,Powell St BART Station,Steuart St at Market St,7.5,1.8,57,foggy
3651,Male,23,Rincon Hill,Civic Center,1st St at Folsom St,Market St at 10th St,12.8,3,57,foggy
324,Male,29,Rincon Hill,South of Market,Beale St at Harrison St,2nd St at Townsend St,4.7,1.1,57,foggy
3934,Male,48,South of Market,The East Cut,2nd St at Townsend St,Howard St at 2nd St,6.8,1.6,57,foggy
2859,Male,46,Mission Dolores,South of Market,Sanchez St at 17th St,Howard St at Beale St,20.6,4.8,57,foggy
2632,Other,29,Mission District,South of Market,Valencia St at 21st St,Embarcadero BART Station,25,5.8,57,foggy
2887,Male,35,Mission Bay,South of Market,San Francisco Caltrain,Yerba Buena Center for the Arts,6.2,1.4,57,foggy
1106,Female,31,Fillmore District,Financial District,Webster St at O'Farrell St,Post St at Kearny St,18.7,4.4,57,foggy
2495,Male,32,Mission Bay,South of Market,San Francisco Caltrain,Folsom St at 3rd St,6.6,1.5,57,foggy
2786,Female,35,Bernal Heights,South of Market,Valencia St at Cesar Chavez St,Howard St at Beale St,35.6,8.3,57,foggy
906,Female,53,Mission Bay,South of Market,San Francisco Caltrain Station 2,Steuart St at Market St,10.6,2.5,57,foggy
3864,Male,42,Financial District,Financial District,Broadway at Battery St,Clay St at Battery St,4.1,1,57,foggy
3973,Male,31,South of Market,Financial District,Howard St at Beale St,Davis St at Jackson St,6.3,1.5,57,foggy
960,Male,43,Bernal Heights,China Basin,Precita Park,3rd St at Townsend St,17.8,4.2,57,foggy
4050,Male,36,Mission Bay,South of Market,Townsend St at 5th St,S Van Ness Ave at Market St,21.1,4.9,57,foggy
1539,Male,36,Mission Bay,South of Market,San Francisco Caltrain,Embarcadero BART Station,11.5,2.7,57,foggy
3300,Female,28,Mission Bay,South of Market,San Francisco Caltrain Station 2,11th St at Natoma St,9.2,2.1,57,foggy
3862,Male,32,China Basin,South of Market,Berry St at 4th St,Howard St at Beale St,8.2,1.9,57,foggy
3792,Male,22,Civic Center,Mission Bay,San Francisco Public Library,8th St at Brannan St,6,1.4,57,foggy
3914,Female,20,Financial District,Civic Center,Mechanics Monument Plaza,Market St at 10th St,12,2.8,57,foggy
1934,Male,34,South of Market,Rincon Hill,Spear St at Folsom St,Beale St at Harrison St,2.1,0.5,57,foggy
423,Male,45,Noe Valley,Mission District,24th St at Chattanooga St,Valencia St at 24th St,2.3,0.5,57,foggy
1497,Male,25,Tenderloin,Mission Bay,Powell St BART Station,5th St at Brannan St,5.3,1.2,57,foggy
3567,Male,30,Design District,Embarcadero,Hubbell St at 16th St,The Embarcadero at Sansome St,19.4,4.5,57,foggy
2125,Male,41,Embarcadero,Embarcadero,The Embarcadero at Sansome St,The Embarcadero at Sansome St,26.6,6.2,57,foggy
1938,Male,59,Mission Bay,China Basin,5th St at Brannan St,Berry St at 4th St,3.7,0.9,57,foggy
3156,Male,35,The Castro,South of Market,Sanchez St at 15th St,11th St at Bryant St,8,1.9,57,foggy
3963,Female,45,Financial District,Mission Dolores,Post St at Kearny St,Dolores St at 15th St,13.5,3.2,57,foggy
232,Female,26,Mission District,Financial District,Harrison St at 20th St,Post St at Kearny St,20.3,4.7,57,foggy
2720,Female,27,Bernal Heights,South of Market,Valencia St at Cesar Chavez St,Howard St at 8th St,17.8,4.1,57,foggy
2556,Female,26,The Castro,South of Market,Sanchez St at 15th St,Embarcadero BART Station,17.9,4.2,57,foggy
2361,Male,59,Dogpatch,South of Market,Esprit Park,Howard St at Beale St,16.6,3.9,57,foggy
4073,Male,27,South of Market,Mission Bay,Montgomery St BART Station,San Francisco Caltrain,9.8,2.3,57,foggy
1926,Male,21,South of Market,China Basin,Embarcadero BART Station,Berry St at 4th St,15,3.5,57,foggy
1458,Male,55,South of Market,Rincon Hill,Steuart St at Market St,Beale St at Harrison St,6,1.4,57,foggy
2760,Male,33,Mission District,Mission District,19th St at Mission St,16th St Mission BART Station 2,3,0.7,57,foggy
2996,Male,31,Lower Nob Hill,Mission Bay,Union Square,5th St at Brannan St,8.9,2.1,57,foggy
2395,Male,35,Mission Bay,South of Market,San Francisco Caltrain Station 2,Division St at Potrero Ave,7.2,1.7,57,foggy
2312,Male,33,Central Waterfront,Dogpatch,22nd St Caltrain Station,Esprit Park,3.3,0.8,57,foggy
1353,Male,33,South of Market,Mission Bay,11th St at Natoma St,Bryant St at 6th St,9.8,2.3,57,foggy
2723,Male,38,Mission Bay,Mission Bay,Townsend St at 5th St,7th St at Brannan St,3,0.7,57,foggy
667,Male,24,South of Market,South of Market,Howard St at 8th St,Folsom St at 3rd St,5.8,1.4,57,foggy
3867,Male,53,China Basin,South of Market,Bryant St at 2nd St,Steuart St at Market St,6.3,1.5,57,foggy
34,Female,44,South of Market,Financial District,Folsom St at 3rd St,Commercial St at Montgomery St,8.5,2,57,foggy
2626,Male,31,South of Market,South of Market,8th St at Ringold St,5th at Folsom,4.9,1.1,57,foggy
3859,Male,24,Mission Bay,South of Market,Townsend St at 5th St,Folsom St at 9th St,7.6,1.8,57,foggy
818,Male,50,Mission Bay,South of Market,Townsend St at 5th St,11th St at Bryant St,5.7,1.3,57,foggy
3364,Male,35,Civic Center,Mission Bay,Golden Gate Ave at Hyde St,San Francisco Caltrain Station 2,8.5,2,57,foggy
2892,Male,21,Mission Bay,South of Market,San Francisco Caltrain,Steuart St at Market St,13.8,3.2,57,foggy
2669,Female,28,China Basin,Financial District,3rd St at Townsend St,Mechanics Monument Plaza,15.6,3.6,57,foggy
3988,Male,30,China Basin,South of Market,Berry St at 4th St,Howard St at Beale St,9.7,2.3,57,foggy
3303,Female,43,South of Market,Design District,Spear St at Folsom St,Hubbell St at 16th St,19,4.4,57,foggy
2689,Female,36,South of Market,Embarcadero,Steuart St at Market St,The Embarcadero at Sansome St,5.7,1.3,57,foggy
3020,Female,36,Fillmore District,Mission District,Webster St at O'Farrell St,17th & Folsom Street Park,17.6,4.1,57,foggy
3661,Female,29,China Basin,South of Market,Berry St at 4th St,Howard St at Beale St,14.1,3.3,57,foggy
3593,Female,33,Tenderloin,Mission Bay,Powell St BART Station,5th St at Brannan St,6.7,1.6,57,foggy
2816,Male,22,Rincon Hill,Financial District,Beale St at Harrison St,Broadway at Battery St,13.5,3.1,57,foggy
1410,Male,28,Mission District,China Basin,Valencia St at 21st St,3rd St at Townsend St,16.6,3.9,57,foggy
3090,Female,35,Civic Center,South of Market,Golden Gate Ave at Polk St,McCoppin St at Valencia St,5.6,1.3,57,foggy
2346,Male,39,South of Market,The East Cut,Embarcadero BART Station,Howard St at 2nd St,4,0.9,57,foggy
1940,Female,32,Hayes Valley,Mission District,Webster St at Grove St,Folsom St at 19th St,16.5,3.8,57,foggy
1733,Female,40,South of Market,China Basin,Steuart St at Market St,Berry St at 4th St,12.8,3,57,foggy
2196,Female,36,Civic Center,Mission Dolores,Golden Gate Ave at Hyde St,Valencia St at 16th St,9.9,2.3,57,foggy
353,Male,37,Alamo Square,Mission District,Grove St at Divisadero,14th St at Mission St,9.9,2.3,57,foggy
4220,Male,27,South of Market,Mission Bay,Folsom St at 3rd St,San Francisco Caltrain,6.4,1.5,57,foggy
1374,Other,31,Mission Dolores,South of Market,17th St at Valencia St,Steuart St at Market St,20.6,4.8,57,foggy
2025,Female,30,South of Market,Mission Bay,Howard St at 8th St,8th St at Brannan St,4.7,1.1,57,foggy
2509,Male,53,Civic Center,Mission Dolores,Golden Gate Ave at Polk St,Valencia St at 16th St,6.8,1.6,57,foggy
581,Male,24,South of Market,Mission Bay,Victoria Manalo Draves Park,San Francisco Caltrain Station 2,6.6,1.5,57,foggy
3216,Female,31,South of Market,Embarcadero,Steuart St at Market St,The Embarcadero at Vallejo St,4.3,1,57,foggy
3890,Male,36,Mid-Market,South of Market,Civic Center/UN Plaza BART Station,Montgomery St BART Station,4.6,1.1,57,foggy
957,Male,33,Mission District,South of Market,17th & Folsom Street Park,11th St at Natoma St,5,1.2,57,foggy
1746,Female,31,Embarcadero,The East Cut,The Embarcadero at Bryant St,Howard St at 2nd St,9.8,2.3,57,foggy
1211,Male,28,Embarcadero,The East Cut,The Embarcadero at Bryant St,Howard St at 2nd St,9.7,2.3,57,foggy
2826,Female,28,Hayes Valley,Financial District,Laguna St at Hayes St,Post St at Kearny St,18,4.2,57,foggy
2016,Male,35,Mission Bay,China Basin,San Francisco Caltrain Station 2,Bryant St at 2nd St,5.9,1.4,57,foggy
428,Male,33,Financial District,Mission Bay,Washington St at Kearny St,San Francisco Caltrain,13.1,3.1,57,foggy
986,Male,33,Hayes Valley,South of Market,Koshland Park,Powell St BART Station,8.4,2,57,foggy
3899,Male,38,South of Market,Financial District,2nd St at Folsom St,Mechanics Monument Plaza,4.3,1,57,foggy
805,Male,49,South of Market,Civic Center,Steuart St at Market St,Market St at 10th St,16.5,3.8,57,foggy
567,Male,38,South of Market,South of Market,Steuart St at Market St,S Van Ness Ave at Market St,14.8,3.4,57,foggy
3576,Male,35,South of Market,China Basin,Howard St at Beale St,Berry St at 4th St,14.6,3.4,57,foggy
3898,Male,33,Dogpatch,China Basin,Esprit Park,Berry St at 4th St,6.3,1.5,57,foggy
2818,Female,25,Fillmore District,Mission Bay,Webster St at O'Farrell St,8th St at Brannan St,20.6,4.8,57,foggy
1570,Male,44,South of Market,Financial District,11th St at Natoma St,Washington St at Kearny St,13.4,3.1,57,foggy
3572,Male,31,Civic Center,South of Market,Market St at 10th St,Powell St BART Station,7,1.6,57,foggy
3783,Female,26,South of Market,China Basin,Steuart St at Market St,Berry St at 4th St,10.6,2.5,57,foggy
649,Female,36,Hayes Valley,Financial District,Laguna St at Hayes St,Post St at Kearny St,13.8,3.2,57,foggy
3679,Female,55,Mid-Market,South of Market,Civic Center/UN Plaza BART Station,Montgomery St BART Station,10.5,2.4,57,foggy
1827,Female,34,Mission Bay,Design District,8th St at Brannan St,Hubbell St at 16th St,5,1.2,57,foggy
3498,Male,26,Panhandle,South of Market,Broderick St at Oak St,Montgomery St BART Station,16,3.7,57,foggy
1100,Male,29,Rincon Hill,Civic Center,1st St at Folsom St,Market St at 10th St,13.6,3.2,57,foggy
72,Male,50,Lower Haight,South of Market,Pierce St at Haight St,Powell St BART Station,13.7,3.2,57,foggy
381,Male,32,Civic Center,Civic Center,Golden Gate Ave at Polk St,Market St at 10th St,3.7,0.9,57,foggy
4036,Male,31,South of Market,South of Market,5th at Folsom,Spear St at Folsom St,6.7,1.6,57,foggy
4007,Male,34,Embarcadero,South of Market,The Embarcadero at Sansome St,Steuart St at Market St,8.4,2,57,foggy
1322,Female,28,South of Market,Financial District,5th at Folsom,Davis St at Jackson St,13.6,3.2,57,foggy
50,Male,30,Hayes Valley,South of Market,Webster St at Grove St,11th St at Bryant St,9.7,2.3,57,foggy
3890,Male,28,South of Market,Financial District,Montgomery St BART Station,Commercial St at Montgomery St,3.2,0.7,57,foggy
657,Male,34,Mission Bay,Financial District,Townsend St at 5th St,Post St at Kearny St,8.5,2,57,foggy
3862,Male,27,South of Market,South of Market,Howard St at Beale St,Howard St at Mary St,5,1.2,57,foggy
506,Male,37,South of Market,South of Market,Howard St at Beale St,2nd St at Townsend St,6.2,1.4,57,foggy
2811,Male,30,South of Market,Dogpatch,Spear St at Folsom St,Esprit Park,15.3,3.6,57,foggy
3499,Male,34,Lower Haight,South of Market,Pierce St at Haight St,Howard St at 8th St,11.8,2.7,57,foggy
3225,Male,40,Civic Center,South of Market,Market St at 10th St,Division St at Potrero Ave,4.2,1,57,foggy
1596,Male,36,Mission District,South of Market,17th & Folsom Street Park,Folsom St at 9th St,5.3,1.2,57,foggy
1079,Male,31,Bernal Heights,Mission District,Precita Park,Bryant St at 15th St,12,2.8,57,foggy
120,Male,30,Potrero Hill,China Basin,Rhode Island St at 17th St,Berry St at 4th St,7.3,1.7,57,foggy
2629,Male,32,Lower Haight,South of Market,Pierce St at Haight St,McCoppin St at Valencia St,12.9,3,57,foggy
1885,Female,31,China Basin,Embarcadero,3rd St at Townsend St,San Francisco Ferry Building,11.5,2.7,57,foggy
3133,Male,47,Fillmore District,China Basin,Webster St at O'Farrell St,Berry St at 4th St,23.3,5.4,57,foggy
952,Female,57,South of Market,Tenderloin,Folsom St at 3rd St,Powell St BART Station,30.9,7.2,57,foggy
1269,Male,38,Mission District,South of Market,14th St at Mission St,Embarcadero BART Station,18.6,4.3,57,foggy
2938,Male,23,Mission District,South of Market,Valencia St at 21st St,Powell St BART Station,13.8,3.2,57,foggy
3914,Male,23,Civic Center,Financial District,Market St at 10th St,Post St at Kearny St,9.4,2.2,57,foggy
2738,Male,35,Mid-Market,South of Market,Civic Center/UN Plaza BART Station,Victoria Manalo Draves Park,3.1,0.7,57,foggy
3915,Male,31,Mission District,South of Market,Potrero Ave and Mariposa St,Division St at Potrero Ave,2.5,0.6,57,foggy
2651,Female,34,The Castro,Mission District,Mission Dolores Park,Bryant St at 15th St,10.9,2.5,57,foggy
2039,Female,34,Tenderloin,Mission Bay,Powell St BART Station,Townsend St at 5th St,9.2,2.1,57,foggy
2249,Female,21,Tenderloin,South of Market,Father Alfred E Boeddeker Park,Howard St at 8th St,8,1.9,57,foggy
3343,Male,21,Tenderloin,South of Market,Father Alfred E Boeddeker Park,Howard St at 8th St,7,1.6,57,foggy
3887,Male,26,South of Market,Financial District,Montgomery St BART Station,Broadway at Battery St,5.5,1.3,57,foggy
3792,Male,34,Mission Bay,South of Market,8th St at Brannan St,Powell St BART Station,12.2,2.8,57,foggy
2906,Male,35,South of Market,South of Market,Victoria Manalo Draves Park,Yerba Buena Center for the Arts,4.7,1.1,57,foggy
2688,Female,33,Civic Center,Tenderloin,Market St at Franklin St,Powell St BART Station,7,1.6,57,foggy
2334,Male,30,Bernal Heights,South of Market,Valencia St at Cesar Chavez St,Division St at Potrero Ave,12.6,2.9,57,foggy
1260,Male,43,Noe Valley,The East Cut,Cesar Chavez St at Dolores St,Howard St at 2nd St,26.4,6.1,57,foggy
3448,Female,28,South of Market,Mission Bay,8th St at Ringold St,San Francisco Caltrain Station 2,7.6,1.8,57,foggy
2025,Female,30,Mission Bay,Mission Bay,8th St at Brannan St,4th St at Mission Bay Blvd S,8.6,2,57,foggy
3980,Male,35,Embarcadero,South of Market,The Embarcadero at Vallejo St,Howard St at Beale St,5,1.2,57,foggy
633,Male,34,Financial District,Financial District,Mechanics Monument Plaza,Commercial St at Montgomery St,3.6,0.8,57,foggy
3966,Male,30,Central Waterfront,Mission District,22nd St Caltrain Station,20th St at Bryant St,13.7,3.2,57,foggy
3867,Male,47,South of Market,The East Cut,Steuart St at Market St,Howard St at 2nd St,5,1.2,57,foggy
3744,Male,39,South of Market,South of Market,Steuart St at Market St,2nd St at Townsend St,8.4,1.9,57,foggy
637,Male,31,China Basin,South of Market,3rd St at Townsend St,Montgomery St BART Station,9.7,2.3,57,foggy
3052,Male,33,South of Market,Chinatown,Montgomery St BART Station,Broadway at Kearny,9.3,2.2,57,foggy
1646,Female,34,South of Market,China Basin,Montgomery St BART Station,Bryant St at 2nd St,5.1,1.2,57,foggy
1259,Male,40,Bernal Heights,Central Waterfront,Precita Park,22nd St Caltrain Station,10.2,2.4,57,foggy
420,Male,31,Tenderloin,Mission Bay,Father Alfred E Boeddeker Park,San Francisco Caltrain Station 2,8.8,2,57,foggy
602,Male,24,Mission District,Mission Bay,Franklin Square,Townsend St at 5th St,6.6,1.5,57,foggy
3690,Male,52,China Basin,Mission Bay,Bryant St at 2nd St,San Francisco Caltrain Station 2,3.7,0.9,57,foggy
1027,Male,30,Lower Haight,South of Market,Pierce St at Haight St,S Van Ness Ave at Market St,13,3,57,foggy
271,Male,38,Mission Bay,Dogpatch,4th St at Mission Bay Blvd S,Esprit Park,8.9,2.1,57,foggy
3154,Male,47,South of Market,Potrero Hill,Steuart St at Market St,Mississippi St at 17th St,17.3,4,57,foggy
2883,Male,25,Fillmore District,Mission Bay,Webster St at O'Farrell St,San Francisco Caltrain Station 2,21.7,5,57,foggy
1999,Male,38,South of Market,South Park,Montgomery St BART Station,S Park St at 3rd St,6.7,1.5,57,foggy
1180,Male,64,Embarcadero,South of Market,The Embarcadero at Sansome St,Howard St at Beale St,11.5,2.7,57,foggy
1400,Male,41,South of Market,Design District,4th St at Harrison St,Hubbell St at 16th St,11,2.6,57,foggy
2738,Male,29,South of Market,South of Market,Victoria Manalo Draves Park,5th at Folsom,3.3,0.8,57,foggy
324,Male,50,South of Market,Rincon Hill,2nd St at Townsend St,Beale St at Harrison St,4.3,1,57,foggy
2902,Male,42,Alamo Square,Western Addition,Grove St at Divisadero,Market St at Dolores St,7.2,1.7,57,foggy
176,Male,25,Civic Center,Civic Center,Golden Gate Ave at Polk St,San Francisco Public Library,3.8,0.9,57,foggy
4014,Male,30,Tenderloin,Mission Bay,Powell St BART Station,San Francisco Caltrain Station 2,6.1,1.4,57,foggy
1339,Male,22,Mission District,Mission District,19th St at Mission St,Bryant St at 15th St,8.1,1.9,57,foggy
2696,Male,42,Civic Center,Mission Bay,San Francisco Public Library,8th St at Brannan St,5,1.2,57,foggy
2623,Male,30,South of Market,Mission Bay,S Van Ness Ave at Market St,8th St at Brannan St,5.7,1.3,57,foggy
3946,Male,59,Dogpatch,China Basin,Esprit Park,Berry St at 4th St,6.8,1.6,57,foggy
2196,Male,36,Mission Dolores,South of Market,Valencia St at 16th St,Folsom St at 9th St,7.7,1.8,57,foggy
2207,Female,28,Alamo Square,Mission Dolores,Grove St at Divisadero,Dolores St at 15th St,8.7,2,57,foggy
2358,Male,25,Hayes Valley,Fillmore District,Webster St at Grove St,Raymond Kimbell Playground,5.8,1.3,57,foggy
709,Male,34,Mission District,South of Market,14th St at Mission St,Division St at Potrero Ave,7,1.6,57,foggy
2041,Male,32,South of Market,Mission District,McCoppin St at Valencia St,Bryant St at 15th St,9.9,2.3,57,foggy
2459,Male,30,Fillmore District,Fillmore District,Raymond Kimbell Playground,Raymond Kimbell Playground,1.3,0.3,57,foggy
3909,Male,29,Civic Center,South of Market,San Francisco Public Library,11th St at Bryant St,4.1,0.9,57,foggy
2618,Male,30,Mission Bay,China Basin,4th St at Mission Bay Blvd S,Berry St at 4th St,2.9,0.7,57,foggy
138,Male,27,Civic Center,Mission Bay,Market St at 10th St,Townsend St at 5th St,11.6,2.7,57,foggy
357,Male,24,Mission District,Mission District,Garfield Square (25th St at Harrison St),Valencia St at 24th St,5,1.2,57,foggy
1666,Male,46,Mission District,Mission District,16th St Mission BART,Folsom St at 19th St,3.4,0.8,57,foggy
3242,Male,34,Mission District,Mission District,19th St at Mission St,16th St Mission BART,2.3,0.5,57,foggy
594,Male,28,South of Market,South of Market,Steuart St at Market St,Howard St at 8th St,12.1,2.8,57,foggy
155,Male,43,South of Market,Tenderloin,2nd St at Townsend St,Powell St BART Station,10.3,2.4,57,foggy
2661,Female,56,Embarcadero,South of Market,The Embarcadero at Sansome St,Embarcadero BART Station,14,3.3,57,foggy
1122,Male,32,Civic Center,Civic Center,Golden Gate Ave at Polk St,Market St at 10th St,4.2,1,57,foggy
1857,Male,40,South of Market,South of Market,Montgomery St BART Station,2nd St at Folsom St,6.3,1.5,57,foggy
4220,Male,50,Mission Bay,Mission Bay,San Francisco Caltrain,Townsend St at 7th St,3.9,0.9,57,foggy
2556,Male,36,South of Market,Rincon Hill,Embarcadero BART Station,Beale St at Harrison St,2.7,0.6,57,foggy
2760,Female,37,Mission District,Mission District,16th St Mission BART Station 2,17th & Folsom Street Park,3.2,0.7,57,foggy
189,Female,31,Embarcadero,South of Market,The Embarcadero at Bryant St,Spear St at Folsom St,1.6,0.4,57,foggy
1493,Male,58,Lower Nob Hill,China Basin,Union Square,Berry St at 4th St,8.6,2,57,foggy
3963,Male,37,Mission Dolores,China Basin,Dolores St at 15th St,Berry St at 4th St,12.1,2.8,57,foggy
3927,Male,29,Dogpatch,China Basin,Esprit Park,Berry St at 4th St,5.8,1.3,57,foggy
3144,Male,33,Mission Bay,South Beach,San Francisco Caltrain Station 2,The Embarcadero at Steuart St,10.9,2.5,57,foggy
1864,Male,23,Mission Dolores,Civic Center,Valencia St at 16th St,Market St at Franklin St,3.8,0.9,57,foggy
2666,Male,29,Dogpatch,Potrero Hill,Esprit Park,Jackson Playground,4.1,0.9,57,foggy
527,Male,23,Civic Center,South of Market,Market St at 10th St,Montgomery St BART Station,7.2,1.7,57,foggy
428,Male,44,Mission Bay,South of Market,San Francisco Caltrain,Folsom St at 3rd St,6.1,1.4,57,foggy
3690,Female,32,Mission Bay,South of Market,San Francisco Caltrain Station 2,Montgomery St BART Station,10.2,2.4,57,foggy
1993,Female,23,Mission Bay,South of Market,San Francisco Caltrain Station 2,Montgomery St BART Station,94.2,21.9,57,foggy
1458,Male,29,Rincon Hill,China Basin,Beale St at Harrison St,3rd St at Townsend St,5.3,1.2,57,foggy
485,Male,42,Civic Center,South of Market,Market St at 10th St,Howard St at Mary St,6.9,1.6,57,foggy
2348,Male,30,Civic Center,Design District,San Francisco Public Library,Irwin St at 8th St,12.4,2.9,57,foggy
1539,Male,36,South of Market,Rincon Hill,Embarcadero BART Station,Beale St at Harrison St,3.5,0.8,57,foggy
2047,Male,30,Civic Center,South of Market,Market St at Franklin St,Powell St BART Station,7.4,1.7,57,foggy
4073,Male,35,Mission Bay,South of Market,San Francisco Caltrain,Yerba Buena Center for the Arts,5.2,1.2,57,foggy
4221,Other,33,South Park,The Castro,S Park St at 3rd St,18th St at Noe St,23.4,5.5,57,foggy
3125,Female,25,Hayes Valley,South of Market,Laguna St at Hayes St,Powell St BART Station,10.1,2.3,57,foggy
2611,Female,31,Lower Haight,Mission Bay,Page St at Scott St,8th St at Brannan St,16.6,3.9,57,foggy
750,Female,38,Mission District,Mission Bay,19th St at Mission St,Bryant St at 6th St,14,3.3,57,foggy
1516,Male,24,Mission District,South of Market,Franklin Square,8th St at Ringold St,5.5,1.3,57,foggy
2303,Female,28,South of Market,Potrero Hill,Steuart St at Market St,Mississippi St at 17th St,18.9,4.4,57,foggy
493,Female,40,Lower Haight,South of Market,Pierce St at Haight St,Folsom St at 3rd St,19.3,4.5,57,foggy
1410,Female,57,China Basin,China Basin,3rd St at Townsend St,3rd St at Townsend St,2.3,0.5,57,foggy
423,Male,24,Mission District,Mission District,Valencia St at 24th St,Valencia St at 21st St,1.9,0.4,57,foggy
2272,Male,23,Financial District,China Basin,Commercial St at Montgomery St,Berry St at 4th St,15.2,3.5,57,foggy
